gene_set,track,segment,bin,mean,ci_low,ci_high,n_genes
expressed,"H4, GSK591 24 h",TSS_pm400,56,3.700638520557966,2.70191667436223,4.964744329379339,56
expressed,"H4, GSK591 24 h",TSS_pm400,57,3.4307127915322786,2.4727892634645112,4.684844817931632,56
expressed,"H4, GSK591 24 h",TSS_pm400,58,3.169250581413508,2.2677516158750013,4.307746853008867,56
expressed,"H4, GSK591 24 h",TSS_pm400,59,3.0470302983054096,2.185494265282261,4.126724753534155,56
expressed,"H4, GSK591 24 h",TSS_pm400,60,2.890449529194407,2.0544912786010117,3.9051950994094033,56
expressed,"H4, GSK591 24 h",TSS_pm400,61,2.774919536071164,1.9738480245973917,3.738393681173079,56
expressed,"H4, GSK591 24 h",TSS_pm400,62,2.6232150333002204,1.8627963833730403,3.4902967421164997,56
expressed,"H4, GSK591 24 h",TSS_pm400,63,2.5707693221047516,1.8219693569213684,3.367081064021747,56
expressed,"H4, GSK591 24 h",TSS_pm400,64,2.5107822417680703,1.7863214345582359,3.2900940350163728,56
expressed,"H4, GSK591 24 h",TSS_pm400,65,2.489399293304554,1.7828545242049065,3.2506694252882147,56
expressed,"H4, GSK591 24 h",TSS_pm400,66,2.4781283356515424,1.8137586316872127,3.228640920616286,56
expressed,"H4, GSK591 24 h",TSS_pm400,67,2.3759593071682117,1.7397869767541332,3.0987430653667873,56
expressed,"H4, GSK591 24 h",TSS_pm400,68,2.3076284633151123,1.712086363442775,2.9871904965064355,56
expressed,"H4, GSK591 24 h",TSS_pm400,69,2.350760128189411,1.7508870470191218,3.025837529501212,56
expressed,"H4, GSK591 24 h",TSS_pm400,70,2.2821261904601533,1.695765603611778,2.9383397335452677,56
expressed,"H4, GSK591 24 h",TSS_pm400,71,2.249970969078796,1.6870151975484835,2.885703546230548,56
expressed,"H4, GSK591 24 h",TSS_pm400,72,2.106132344475814,1.5828892971681698,2.6763704645287776,56
expressed,"H4, GSK591 24 h",TSS_pm400,73,2.0670442240578786,1.570068737430764,2.617411638152386,56
expressed,"H4, GSK591 24 h",TSS_pm400,74,2.035210763130869,1.54071700340403,2.5960277768543785,56
expressed,"H4, GSK591 24 h",TSS_pm400,75,1.9638017385133677,1.4927771068444209,2.4882445150267865,56
expressed,"H4, GSK591 24 h",TSS_pm400,76,2.0123912803562627,1.5246364972880113,2.5428109613207295,56
expressed,"H4, GSK591 24 h",TSS_pm400,77,2.0714235969020853,1.5541483399780869,2.614271212236158,56
expressed,"H4, GSK591 24 h",TSS_pm400,78,2.143264229808535,1.6206905735975932,2.7073636461049317,56
expressed,"H4, GSK591 24 h",TSS_pm400,79,2.155199813523463,1.6308163771432425,2.755015279387256,56
expressed,HINFP (U2OS),TSS_pm400,0,0.10461092079058289,0.0749340638421875,0.13781190452232422,56
expressed,HINFP (U2OS),TSS_pm400,1,0.1081350473953145,0.07604230852598058,0.14320938262423233,56
expressed,HINFP (U2OS),TSS_pm400,2,0.1124010956047901,0.07882915105171769,0.14839819609952556,56
expressed,HINFP (U2OS),TSS_pm400,3,0.11221561527677945,0.07844891642486411,0.1485697651315214,56
